Package,LibPath,Version,Priority,Built
foreach,/usr/local/lib/R/site-library,1.4.3,NA,3.4.1
formatR,/usr/local/lib/R/site-library,1.5,NA,3.4.1
fortunes,/usr/local/lib/R/site-library,1.5-4,NA,3.4.1
ggforce,/usr/local/lib/R/site-library,0.1.1,NA,3.4.1
ggplot2,/usr/local/lib/R/site-library,2.2.1,NA,3.4.1
ggraph,/usr/local/lib/R/site-library,1.0.0,NA,3.4.1
ggrepel,/usr/local/lib/R/site-library,0.6.5,NA,3.4.1
git2r,/usr/local/lib/R/site-library,0.19.0,NA,3.4.1
glue,/usr/local/lib/R/site-library,1.1.1,NA,3.4.1
Gmedian,/usr/local/lib/R/site-library,1.2.3,NA,3.4.1
googlesheets,/usr/local/lib/R/site-library,0.2.2,NA,3.4.1
GPArotation,/usr/local/lib/R/site-library,2014.11-1,NA,3.4.1
gridBase,/usr/local/lib/R/site-library,0.4-7,NA,3.4.1
gridExtra,/usr/local/lib/R/site-library,2.2.1,NA,3.4.1
gtable,/usr/local/lib/R/site-library,0.2.0,NA,3.4.1
haven,/usr/local/lib/R/site-library,1.1.0,NA,3.4.1
highr,/usr/local/lib/R/site-library,0.6,NA,3.3.2
hms,/usr/local/lib/R/site-library,0.3,NA,3.4.1
htmltools,/usr/local/lib/R/site-library,0.3.6,NA,3.4.1
htmlwidgets,/usr/local/lib/R/site-library,0.9,NA,3.4.1
httpuv,/usr/local/lib/R/site-library,1.3.5,NA,3.4.1
httr,/usr/local/lib/R/site-library,1.3.1,NA,3.4.1
hunspell,/usr/local/lib/R/site-library,2.6,NA,3.4.1
igraph,/usr/local/lib/R/site-library,1.1.2,NA,3.4.1
import,/usr/local/lib/R/site-library,1.1.0,NA,3.4.1
influenceR,/usr/local/lib/R/site-library,0.1.0,NA,3.4.1
irlba,/usr/local/lib/R/site-library,2.2.1,NA,3.4.1
iterators,/usr/local/lib/R/site-library,1.0.8,NA,3.4.1
janeaustenr,/usr/local/lib/R/site-library,0.1.5,NA,3.4.1
jsonlite,/usr/local/lib/R/site-library,1.5,NA,3.4.1
knitr,/usr/local/lib/R/site-library,1.16,NA,3.4.1
